filename,height,width,diseaseID,risk,classID,xtl,ytl,xbr,ybr
V006_77_1_16_10_03_13_1_2394r_20200922_5.jpg,3024,3024,16,1,3,385,181,2880,2646
V006_77_1_16_10_03_13_1_2394r_20201006_12.JPG,3024,3024,16,1,3,0,199,2843,2945
V006_77_1_16_10_03_13_1_2394r_20201006_13.JPG,3024,3024,16,1,3,235,0,2915,2711
V006_77_1_16_10_03_13_1_2394r_20201006_14.JPG,3024,3024,16,1,3,0,0,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201006_15.JPG,3024,3024,16,1,3,0,0,2545,2856
V006_77_1_16_10_03_13_1_2394r_20201006_17.JPG,3024,3024,16,1,3,80,0,2434,2724
V006_77_1_16_10_03_13_1_2394r_20201006_18.JPG,3024,3024,16,1,3,20,49,3020,3024
V006_77_1_16_10_03_13_1_2394r_20201012_19.JPG,3024,3024,16,1,3,0,1293,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201012_21.JPG,3024,3024,16,1,3,0,0,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201012_22.JPG,3024,3024,16,1,3,0,0,2983,3024
V006_77_1_16_10_03_13_1_2394r_20201012_23.JPG,3024,3024,16,1,3,0,55,2950,3024
V006_77_1_16_10_03_13_1_2394r_20201012_24.JPG,3024,3024,16,1,3,309,349,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201012_25.JPG,3024,3024,16,1,3,239,419,2900,2650
V006_77_1_16_10_03_13_1_2394r_20201012_26.JPG,3024,3024,16,1,3,329,199,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201019_29.JPG,3024,3024,16,1,3,669,59,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201019_30.JPG,3024,3024,16,1,3,0,0,2535,2870
V006_77_1_16_10_03_13_1_2394r_20201019_31.JPG,3024,3024,16,1,3,0,80,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201019_33.JPG,3024,3024,16,1,3,0,1110,3024,2844
V006_77_1_16_10_03_13_1_2394r_20201019_34.JPG,3024,3024,16,1,3,0,579,3004,2930
V006_77_1_16_10_03_13_1_2394r_20201019_36.JPG,3024,3024,16,1,3,390,339,2690,2984
V006_77_1_16_10_03_13_1_2394r_20201019_38.JPG,3024,3024,16,1,3,389,29,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201102_50.JPG,3024,3024,16,1,3,0,0,3024,2753
V006_77_1_16_10_03_13_1_2394r_20201102_51.JPG,3024,3024,16,1,3,0,0,3024,1653
V006_77_1_16_10_03_13_1_2394r_20201102_52.JPG,3024,3024,16,1,3,117,0,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201102_53.JPG,3024,3024,16,1,3,367,702,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201102_54.JPG,3024,3024,16,1,3,0,0,3024,2563
V006_77_1_16_10_03_13_1_2394r_20201102_55.JPG,3024,3024,16,1,3,557,262,3024,3023
V006_77_1_16_10_03_13_1_2394r_20201102_57.JPG,3024,3024,16,1,3,417,250,2428,2693
V006_77_1_16_10_03_13_1_2394r_20201130_101.jpg,3024,3024,16,1,3,0,182,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201130_102.jpg,3024,3024,16,1,3,790,0,3024,3024
V006_77_1_16_10_03_13_1_2394r_20201130_104.jpg,3024,3024,16,1,3,0,682,3024,2753
V006_77_1_16_10_03_13_1_2394r_20201130_105.jpg,3024,3024,16,1,3,859,748,2268,2541
V006_77_1_16_10_03_13_1_2394r_20201130_106.jpg,3024,3024,16,1,3,731,876,1471,1700
V006_77_1_16_10_03_13_1_2394r_20201130_107.jpg,3024,3024,16,1,3,0,0,1826,1830
V006_77_1_16_10_03_13_1_2394r_20201130_120.jpg,3024,3024,16,1,3,45,154,2645,3024
V006_77_1_16_10_03_13_1_2394r_20201130_121.jpg,3024,3024,16,1,3,0,0,2713,2665
V006_77_1_16_10_03_13_1_2394r_20201130_123.jpg,3024,3024,16,1,3,0,180,2385,2835
V006_77_1_16_10_03_13_1_2394r_20201130_125.jpg,3024,3024,16,1,3,0,0,3013,2735
V006_77_1_16_10_03_13_1_2394r_20201130_126.JPG,3024,3024,16,1,3,0,0,3024,2865
V006_77_1_16_10_03_13_1_3374r_20200917_1.jpg,3024,3024,16,1,3,368,52,2911,3023
V006_77_1_16_10_03_13_1_3374r_20200917_2.jpg,3024,3024,16,1,3,616,852,2824,2868
V006_77_1_16_10_03_13_1_3374r_20200917_3.jpg,3024,3024,16,1,3,212,208,2796,2852
V006_77_1_16_10_03_13_1_3374r_20200917_4.jpg,3024,3024,16,1,3,84,312,2878,2652
V006_77_1_16_10_03_13_1_3374r_20200922_5.jpg,3024,3024,16,1,3,254,160,2645,2524
