Id,SalePrice
1341,117157.05666771824
1342,129578.60195144331
1343,160279.63526062653
1344,140266.7120609484
1345,116001.50165797526
1346,154455.98394287797
1347,201083.04297901536
1348,88336.63085076906
1349,200404.02588408813
1350,150728.20586677338
1351,201894.6127015231
1352,156123.72682978725
1353,249548.70609414577
1354,94989.16688380658
1355,293117.7095681891
1356,198448.75778649165
1357,184248.37544670326
1358,197262.81719009284
1359,162456.93039215615
1360,202381.37205728787
1361,160727.74037739733
1362,426552.8685178497
1363,130671.02268277593
1364,411500.2026080446
1365,249724.65156006545
1366,232070.89587045793
1367,177417.4279698212
1368,214226.5119823787
1369,220080.7965936602
1370,203578.33110842638
1371,189321.67713201157
1372,225810.59362204428
1373,344040.61430420756
1374,210923.29737686942
1375,202643.73674811158
1376,159334.58452422806
1377,154305.61803091638
1378,179005.39488149696
1379,180944.3054340649
1380,123957.19712985866
1381,163947.38200688292
1382,259759.7057904191
1383,275194.00925630436
1384,121675.7381939557
1385,246543.05279871039
1386,192918.84151481756
1387,156486.5931979368
1388,235553.55024515846
1389,213025.04070724
1390,133180.90725346902
1391,315860.47966948163
1392,202347.93995549556
1393,188894.32782372972
1394,155579.16414664045
1395,92623.29213050286
1396,239559.978673734
1397,610548.1901781291
1398,134583.11411073318
1399,170922.0934679732
1400,117843.90199255821
1401,177122.792058187
1402,131893.71094660717
1403,161905.72510740967
1404,138584.05387674287
1405,167450.0960222114
1406,240233.22153520642
1407,145515.40315148915
1408,183268.06101186085
1409,143564.9407939851
1410,109088.49831063612
1411,200115.14480396328
1412,135398.4903497997
1413,138800.844462739
1414,163666.56339900647
1415,270579.32568057196
1416,188349.5340065209
1417,295489.9300725104
1418,363939.3948405109
1419,110076.3229086885
1420,185943.380783642
1421,275708.75293648365
1422,155720.11305623772
1423,354017.70056457736
1424,205725.29024477824
1425,232569.43185066048
1426,134297.71861266682
1427,174843.02721501564
1428,149590.22754659798
1429,190657.38684141153
1430,201075.2659060862
1431,127683.0370626298
1432,139351.39271287006
1433,250199.676870994
1434,142133.31414326676
1435,98011.10881967604
1436,149241.29129604518
1437,76464.13605196182
1438,219775.66554599686
1439,155858.8801387944
1440,154950.90930191852
1441,107042.09277962276
1442,161453.56155576033
1443,318980.9470150547
1444,125203.61507948846
1445,201290.20509582496
1446,143527.98830280476
1447,138644.5367869005
1448,193567.67831036518
1449,133698.26813839877
1450,100526.37152400626
1451,188486.23081049527
1452,153781.4957005133
1453,175489.00742423828
1454,147166.4488160445
1455,90795.52406588277
1456,261415.87310852544
1457,155591.56034890754
1458,201689.1663584442
1459,86929.9832283571
1460,151086.97820139126
1461,147847.32965079643
1462,149405.98070916848
1463,124928.27808790216
1464,263695.9868978881
1465,129578.60195144331
1466,287227.35769223445
1467,190651.51885362182
1468,81554.05325811585
1469,92762.51277563449
1470,150109.47316983994
